orf_name,name,chr,strand,TSS,promoter_start,promoter_stop
YAL067C,SEO1,1,-,9192,9192,9692
YAL063C,FLO9,1,-,28213,28213,28713
YAL062W,GDH3,1,+,31189,30689,31189
YAL061W,BDH2,1,+,33360,32860,33360
YAL060W,BDH1,1,+,35108,34608,35108
YAL059W,ECM1,1,+,36560,36060,36560
YAL058W,CNE1,1,+,37450,36950,37450
YAL056W,GPB2,1,+,39216,38716,39216
YAL055W,PEX22,1,+,42192,41692,42192
YAL053W,FLC2,1,+,45745,45245,45745
YAL049C,AIM2,1,-,52662,52662,53162
YAL048C,GEM1,1,-,54826,54826,55326
YAL044C,GCV3,1,-,58477,58477,58977
YAL043C,PTA1,1,-,61077,61077,61577
YAL042W,ERV46,1,+,61275,60775,61275
YAL041W,CDC24,1,+,62777,62277,62777
YAL040C,CLN3,1,-,67845,67845,68345
YAL039C,CYC3,1,-,69582,69582,70082
YAL038W,CDC19,1,+,71760,71260,71760
YAL036C,RBG1,1,-,76190,76190,76690
YAL035W,FUN12,1,+,76402,75902,76402
YAL034W-A,MTW1,1,+,79690,79190,79690
YAL033W,POP5,1,+,82702,82202,82702
YAL032C,PRP45,1,-,84495,84495,84995
YAL031C,GIP4,1,-,87079,87079,87579
YAL029C,MYO4,1,-,92523,92523,93023
YAL028W,FRT2,1,+,92855,92355,92855
YAL027W,SAW1,1,+,94608,94108,94608
YAL026C,DRS2,1,-,99784,99784,100284
YAL025C,MAK16,1,-,101169,101169,101669
YAL024C,LTE1,1,-,105977,105977,106477
YAL023C,PMT2,1,-,108640,108640,109140
YAL022C,FUN26,1,-,110447,110447,110947
YAL021C,CCR4,1,-,113404,113404,113904
YAL020C,ATS1,1,-,114631,114631,115131
YAL019W,FUN30,1,+,114810,114310,114810
YAL017W,PSK1,1,+,119859,119359,119859
YAL016W,TPD3,1,+,124799,124299,124799
YAL014C,SYN8,1,-,129068,129068,129568
YAL013W,DEP1,1,+,129237,128737,129237
YAL012W,CYS3,1,+,130747,130247,130747
YAL011W,SWC3,1,+,132198,131698,132198
YAL010C,MDM10,1,-,135708,135708,136208
YAL009W,SPO7,1,+,135815,135315,135815
YAL008W,FUN14,1,+,136868,136368,136868
YAL007C,ERP2,1,-,138422,138422,138922
YAL005C,SSA1,1,-,141495,141495,141995
YAL003W,EFB1,1,+,142155,141655,142155
YAL002W,VPS8,1,+,143553,143053,143553
YAL001C,TFC3,1,-,151206,151206,151706
YAR002W,NUP60,1,+,152217,151717,152217
YAR002C-A,ERP1,1,-,154742,154742,155242
YAR003W,SWD1,1,+,154953,154453,154953
YAR007C,RFA1,1,-,158684,158684,159184
YAR008W,SEN34,1,+,158870,158370,158870
YAR014C,BUD14,1,-,169016,169016,169516
YAR015W,ADE1,1,+,169267,168767,169267
YAR018C,KIN3,1,-,171714,171714,172214
YAR027W,UIP3,1,+,183682,183182,183682
YAR028W,YAR028W,1,+,184830,184330,184830
YAR031W,PRM9,1,+,186991,186491,186991
YAR042W,SWH1,1,+,192589,192089,192589
YBL107C,YBL107C,2,-,10551,10551,11051
YBL106C,SRO77,2,-,13946,13946,14446
YBL105C,PKC1,2,-,17966,17966,18466
YBL104C,YBL104C,2,-,21298,21298,21798
YBL103C,RTG3,2,-,23789,23789,24289
YBL102W,SFT2,2,+,24010,23510,24010
YBL101C,ECM21,2,-,28583,28583,29083
